date	range_ID	range	TAT
2014-11-14T06:15	2305	757.639	280.0
2014-11-14T06:15	2307	1245.293	80.0
2014-11-14T08:15	2302	1096.791	440.0
2014-11-14T08:15	2303	1603.762	320.0
2014-11-14T08:15	2304	1093.677	640.0
2014-11-14T08:15	2305	757.645	280.0
2014-11-14T08:15	2307	1245.294	80.0
2014-11-14T10:15	2302	1096.803	440.0
2014-11-14T10:15	2303	1603.758	320.0
2014-11-14T10:15	2304	1093.662	640.0
2014-11-14T10:15	2305	757.645	280.0
2014-11-14T10:15	2307	1245.294	80.0
2014-11-14T12:15	2302	1096.801	440.0
2014-11-14T12:15	2303	1603.766	320.0
2014-11-14T12:15	2304	1093.665	640.0
2014-11-14T12:15	2305	757.64	280.0
2014-11-14T12:15	2307	1245.296	80.0
2014-11-14T14:15	2302	1096.788	440.0
2014-11-14T14:15	2303	1603.77	320.0
2014-11-14T14:15	2304	1093.673	640.0
2014-11-14T14:15	2305	757.644	280.0
2014-11-14T14:15	2307	1245.294	80.0
2014-11-14T16:15	2302	1096.791	440.0
2014-11-14T16:15	2303	1603.768	320.0
2014-11-14T16:15	2304	1093.668	640.0
2014-11-14T16:15	2305	757.64	280.0
2014-11-14T16:15	2307	1245.296	80.0
2014-11-14T18:15	2302	1096.791	440.0
2014-11-14T18:15	2303	1603.762	320.0
2014-11-14T18:15	2304	1093.678	640.0
2014-11-14T18:15	2305	757.639	280.0
2014-11-14T18:15	2307	1245.293	80.0
2014-11-14T20:15	2302	1096.796	440.0
2014-11-14T20:15	2303	1603.77	320.0
2014-11-14T20:15	2304	1093.663	640.0
2014-11-14T20:15	2305	757.64	280.0
2014-11-14T20:15	2307	1245.29	80.0
2014-11-14T22:15	2302	1096.794	440.0
2014-11-14T22:15	2303	1603.764	320.0
2014-11-14T22:15	2304	1093.666	640.0
2014-11-14T22:15	2305	757.646	280.0
2014-11-14T22:15	2307	1245.288	80.0
2014-11-15T00:15	2302	1096.796	440.0
2014-11-15T00:15	2303	1603.766	320.0
2014-11-15T00:15	2304	0.0	640.0
2014-11-15T00:15	2305	757.637	280.0
2014-11-15T00:15	2307	1245.29	80.0
2014-11-15T02:15	2302	1096.794	440.0
2014-11-15T02:15	2303	1603.761	320.0
2014-11-15T02:15	2304	1093.664	640.0
2014-11-15T02:15	2305	757.644	280.0
2014-11-15T02:15	2307	1245.289	80.0
2014-11-15T04:15	2302	1096.797	440.0
2014-11-15T04:15	2303	1603.762	320.0
2014-11-15T04:15	2304	1093.666	640.0
2014-11-15T04:15	2305	757.639	280.0
2014-11-15T04:15	2307	1245.292	80.0
2014-11-15T06:15	2302	1096.803	440.0
2014-11-15T06:15	2303	1603.762	320.0
2014-11-15T06:15	2304	1093.664	640.0
2014-11-15T06:15	2305	757.642	280.0
2014-11-15T06:15	2307	1245.288	80.0
2014-11-15T08:15	2302	1096.796	440.0
2014-11-15T08:15	2303	1603.755	320.0
2014-11-15T08:15	2304	1093.667	640.0
2014-11-15T08:15	2305	757.642	280.0
2014-11-15T08:15	2307	1245.286	80.0
2014-11-15T10:15	2302	1096.798	440.0
2014-11-15T10:15	2303	1603.754	320.0
2014-11-15T10:15	2304	1093.661	640.0
2014-11-15T10:15	2305	757.641	280.0
2014-11-15T10:15	2307	1245.289	80.0
2014-11-15T12:15	2302	1096.791	440.0
2014-11-15T12:15	2303	1603.766	320.0
2014-11-15T12:15	2304	1093.672	640.0
2014-11-15T12:15	2305	757.64	280.0
2014-11-15T12:15	2307	1245.291	80.0
2014-11-15T14:15	2302	1096.802	440.0
2014-11-15T14:15	2303	1603.757	320.0
2014-11-15T14:15	2304	1093.666	640.0
2014-11-15T14:15	2305	757.637	280.0
2014-11-15T14:15	2307	1245.291	80.0
2014-11-15T16:15	2302	1096.791	440.0
2014-11-15T16:15	2303	1603.763	320.0
2014-11-15T16:15	2304	1093.673	640.0
2014-11-15T16:15	2305	757.64	280.0
2014-11-15T16:15	2307	1245.291	80.0
2014-11-15T18:15	2302	1096.795	440.0
2014-11-15T18:15	2303	1603.761	320.0
2014-11-15T18:15	2304	1093.669	640.0
2014-11-15T18:15	2305	757.639	280.0
2014-11-15T18:15	2307	1245.292	80.0
2014-11-15T20:15	2302	1096.798	440.0
2014-11-15T20:15	2303	1603.759	320.0
2014-11-15T20:15	2304	0.0	640.0
2014-11-15T20:15	2305	757.641	280.0
2014-11-15T20:15	2307	1245.29	80.0
2014-11-15T22:15	2302	1096.799	440.0
2014-11-15T22:15	2303	1603.765	320.0
2014-11-15T22:15	2304	1093.668	640.0
2014-11-15T22:15	2305	757.639	280.0
2014-11-15T22:15	2307	1245.289	80.0
2014-11-16T00:15	2302	1096.794	440.0
2014-11-16T00:15	2303	1603.757	320.0
2014-11-16T00:15	2304	1093.666	640.0
2014-11-16T00:15	2305	757.641	280.0
2014-11-16T00:15	2307	1245.287	80.0
2014-11-16T02:15	2302	1096.796	440.0
2014-11-16T02:15	2303	1603.767	320.0
2014-11-16T02:15	2304	1093.664	640.0
2014-11-16T02:15	2305	757.641	280.0
2014-11-16T02:15	2307	1245.291	80.0
2014-11-16T04:15	2302	1096.789	440.0
2014-11-16T04:15	2303	1603.76	320.0
2014-11-16T04:15	2304	1093.674	640.0
2014-11-16T04:15	2305	757.645	280.0
2014-11-16T04:15	2307	1245.288	80.0
2014-11-16T06:15	2302	1096.789	440.0
2014-11-16T06:15	2303	1603.769	320.0
2014-11-16T06:15	2304	1093.667	640.0
2014-11-16T06:15	2305	757.638	280.0
2014-11-16T06:15	2307	1245.291	80.0
2014-11-16T08:15	2302	1096.801	440.0
2014-11-16T08:15	2303	1603.765	320.0
2014-11-16T08:15	2304	1093.664	640.0
2014-11-16T08:15	2305	757.639	280.0
2014-11-16T08:15	2307	1245.288	80.0
2014-11-16T10:15	2302	1096.787	440.0
2014-11-16T10:15	2303	1603.757	320.0
2014-11-16T10:15	2304	1093.67	640.0
2014-11-16T10:15	2305	757.639	280.0
2014-11-16T10:15	2307	1245.291	80.0
2014-11-16T12:15	2302	1096.799	440.0
2014-11-16T12:15	2303	1603.76	320.0
2014-11-16T12:15	2304	1093.663	640.0
2014-11-16T12:15	2305	757.64	280.0
2014-11-16T12:15	2307	1245.291	80.0
2014-11-16T14:15	2302	1096.804	440.0
2014-11-16T14:15	2303	1603.769	320.0
2014-11-16T14:15	2304	1093.666	640.0
2014-11-16T14:15	2305	757.644	280.0
2014-11-16T14:15	2307	1245.288	80.0
2014-11-16T16:15	2302	1096.802	440.0
2014-11-16T16:15	2303	1603.764	320.0
2014-11-16T16:15	2304	1093.661	640.0
2014-11-16T16:15	2305	757.639	280.0
2014-11-16T16:15	2307	1245.288	80.0
2014-11-16T18:15	2302	1096.803	440.0
2014-11-16T18:15	2303	1603.759	320.0
2014-11-16T18:15	2304	1093.664	640.0
2014-11-16T18:15	2305	757.64	280.0
2014-11-16T18:15	2307	1245.288	80.0
2014-11-16T20:15	2302	1096.794	440.0
2014-11-16T20:15	2303	1603.761	320.0
2014-11-16T20:15	2304	1093.675	640.0
2014-11-16T20:15	2305	757.646	280.0
2014-11-16T20:15	2307	1245.288	80.0
2014-11-16T22:15	2302	1096.796	440.0
2014-11-16T22:15	2303	1603.763	320.0
2014-11-16T22:15	2304	1093.669	640.0
2014-11-16T22:15	2305	757.646	280.0
2014-11-16T22:15	2307	1245.289	80.0
2014-11-17T00:15	2302	1096.789	440.0
2014-11-17T00:15	2303	1603.763	320.0
2014-11-17T00:15	2304	1093.67	640.0
2014-11-17T00:15	2305	757.639	280.0
2014-11-17T00:15	2307	1245.29	80.0
2014-11-17T02:15	2302	1096.803	440.0
2014-11-17T02:15	2303	1603.758	320.0
2014-11-17T02:15	2304	1093.662	640.0
2014-11-17T02:15	2305	757.64	280.0
2014-11-17T02:15	2307	1245.29	80.0
2014-11-17T04:15	2302	1096.793	440.0
2014-11-17T04:15	2303	1603.771	320.0
2014-11-17T04:15	2304	1093.671	640.0
2014-11-17T04:15	2305	757.644	280.0
2014-11-17T04:15	2307	1245.295	80.0
2014-11-17T06:15	2302	1096.803	440.0
2014-11-17T06:15	2303	1603.761	320.0
2014-11-17T06:15	2304	1093.663	640.0
2014-11-17T06:15	2305	757.64	280.0
2014-11-17T06:15	2307	1245.292	80.0
2014-11-17T08:15	2302	1096.803	440.0
2014-11-17T08:15	2303	1603.773	320.0
